stem,bucket,orig_w,orig_h,clip_left_px,clip_top_px,clip_right_px,clip_bottom_px,max_clip_px,clip_frac,note,error
coco_117222_crowd,1472x704,640,334,0.0,0.0,0.0,0.0,0.0,0.0,,
coco_274451_crowd,1472x704,640,311,0.0,0.0,0.0,0.0,0.0,0.0,,
coco_382256_crowd,1472x704,640,313,0.0,0.0,0.0,0.0,0.0,0.0,,
coco_46077_crowd,1472x704,640,281,0.0,0.0,0.0,0.0,0.0,0.0,,
coco_464515_crowd,1472x704,640,325,0.0,0.0,0.0,22.5,22.5,0.032,,
coco_519542_crowd,704x1472,259,500,0.0,0.0,0.0,0.0,0.0,0.0,,
coco_577033_crowd,1472x704,640,327,0.0,0.0,0.0,0.0,0.0,0.0,,
coco_62060_crowd,1472x704,640,334,0.0,0.0,0.0,0.0,0.0,0.0,,
coco_97434_crowd,1472x704,640,266,0.0,0.0,0.0,0.0,0.0,0.0,,
danbooru_anime_11902107,704x1472,843,2000,0.0,0.0,0.0,0.0,0.0,0.0,,
danbooru_anime_11902459,704x1472,1330,2852,0.0,0.0,0.0,0.0,0.0,0.0,,
danbooru_anime_11902884,704x1472,806,1600,0.0,0.0,0.0,0.0,0.0,0.0,,
danbooru_anime_11903060,704x1472,3145,9990,0.0,22.3,0.0,0.6,22.3,0.0316,,
danbooru_anime_11903080,704x1472,1783,3686,0.0,0.0,0.0,0.0,0.0,0.0,,
danbooru_anime_11903560,1472x704,2436,1125,0.0,0.0,0.0,0.0,0.0,0.0,,
danbooru_anime_11903757,704x1472,1500,2912,0.0,0.0,0.0,0.0,0.0,0.0,,
danbooru_anime_11903761,704x1472,1035,2047,0.0,0.0,0.0,0.0,0.0,0.0,,
danbooru_anime_11903868,704x1472,1631,3225,0.0,0.0,0.0,0.0,0.0,0.0,,
danbooru_anime_11904179,1472x704,4096,1923,0.0,0.0,0.0,0.0,0.0,0.0,,
danbooru_anime_11904593,704x1472,1939,4096,0.0,0.0,0.0,0.0,0.0,0.0,,
danbooru_anime_11905270,704x1472,2012,4096,0.0,0.0,0.0,0.0,0.0,0.0,,
danbooru_anime_11906002,704x1472,3352,7387,0.0,0.0,0.0,0.0,0.0,0.0,,
danbooru_anime_11906359,704x1472,1439,4096,0.0,59.1,0.0,19.8,59.1,0.0839,,
danbooru_anime_11906713,704x1472,2955,6500,0.0,0.0,0.0,0.0,0.0,0.0,,
danbooru_anime_11907162,704x1472,827,1715,0.0,0.0,0.0,0.0,0.0,0.0,,
danbooru_anime_11907482,704x1472,1702,4096,0.0,0.0,0.0,0.0,0.0,0.0,,
danbooru_anime_11907576,704x1472,1080,2400,0.0,0.0,0.0,0.0,0.0,0.0,,
danbooru_anime_11907909,1472x704,5034,2288,0.0,0.0,0.0,0.0,0.0,0.0,,
danbooru_anime_11907925,704x1472,892,1826,0.0,0.0,0.0,0.0,0.0,0.0,,
danbooru_anime_11908094,704x1472,970,2048,0.0,0.0,0.0,0.0,0.0,0.0,,
danbooru_anime_11908303,704x1472,1409,2765,0.0,0.0,0.0,0.0,0.0,0.0,,
danbooru_anime_11908423,704x1472,1323,2681,0.0,0.0,0.0,0.0,0.0,0.0,,
danbooru_anime_11908499,704x1472,879,2055,0.0,0.0,0.0,0.0,0.0,0.0,,
danbooru_anime_11909086,704x1472,1920,4200,0.0,0.0,0.0,0.0,0.0,0.0,,
danbooru_anime_11909236,704x1472,1067,2048,31.0,0.0,8.9,0.0,31.0,0.044,,
danbooru_anime_11909561,704x1472,1985,3840,0.0,0.0,0.0,0.0,0.0,0.0,,
danbooru_anime_11909709,704x1472,3118,6206,0.0,0.0,0.0,0.0,0.0,0.0,,
danbooru_anime_11910212,704x1472,1022,2048,0.0,0.0,0.0,0.0,0.0,0.0,,
danbooru_anime_11910358,704x1472,3038,6314,0.0,0.0,0.0,0.0,0.0,0.0,,
danbooru_anime_11910625,704x1472,2105,4096,0.0,0.0,0.0,0.0,0.0,0.0,,
danbooru_anime_11911238,704x1472,1024,2048,0.0,0.0,0.0,0.0,0.0,0.0,,
danbooru_anime_11912209,1472x704,2048,770,160.7,0.0,130.1,0.0,160.7,0.2282,,
danbooru_anime_11913418,704x1472,727,1950,0.0,26.9,0.0,0.0,26.9,0.0382,,
danbooru_anime_11913447,704x1472,1112,2500,0.0,0.0,0.0,55.7,55.7,0.0792,,
danbooru_anime_11913642,704x1472,970,2048,0.0,0.0,0.0,0.0,0.0,0.0,,
danbooru_anime_11913820,704x1472,1437,3000,0.0,0.0,0.0,0.0,0.0,0.0,,
danbooru_anime_11915004,704x1472,793,1848,0.0,0.0,0.0,82.8,82.8,0.1176,,
danbooru_anime_11915600,704x1472,2439,4996,0.0,0.0,0.0,0.0,0.0,0.0,,
