stem,bucket,orig_w,orig_h,clip_left_px,clip_top_px,clip_right_px,clip_bottom_px,max_clip_px,clip_frac,note,error
coco_100098_193288,1216x832,640,427,0.0,0.0,0.0,0.0,0.0,0.0,,
coco_10012_1730659,1152x896,640,480,0.0,0.0,0.0,0.0,0.0,0.0,,
coco_10014_crowd,1216x832,640,426,13.1,0.0,0.0,0.0,13.1,0.0157,,
coco_10023_439238,1216x832,640,427,0.0,0.0,0.0,0.0,0.0,0.0,,
coco_10040_crowd,1152x896,640,480,0.0,0.0,0.0,0.0,0.0,0.0,,
coco_100438_crowd,896x1152,480,640,0.0,0.0,0.0,0.0,0.0,0.0,,
coco_100553_455521,896x1152,480,640,0.0,0.0,0.0,0.0,0.0,0.0,,
coco_100977_crowd,1152x896,640,480,0.0,0.0,0.0,0.0,0.0,0.0,,
coco_101088_crowd,1152x896,640,480,0.0,0.0,0.0,0.0,0.0,0.0,,
coco_101172_183092,832x1216,460,640,0.0,0.0,0.0,0.0,0.0,0.0,,
coco_10138_228945,1152x896,640,480,0.0,0.0,0.0,0.0,0.0,0.0,,
coco_10142_469874,1152x896,640,480,0.0,0.0,0.0,0.0,0.0,0.0,,
coco_101491_crowd,896x1152,480,640,0.0,0.0,0.0,0.0,0.0,0.0,,
coco_10149_191566,1152x896,640,484,16.0,0.0,0.0,0.0,16.0,0.0179,,
coco_101656_186340,1216x832,640,427,0.0,0.0,0.0,0.0,0.0,0.0,,
coco_10192_446799,1152x896,640,497,0.0,0.0,0.0,0.0,0.0,0.0,,
coco_102329_433925,832x1216,426,640,0.0,0.0,0.0,0.0,0.0,0.0,,
coco_102353_451098,1216x832,640,427,0.0,0.0,0.0,0.0,0.0,0.0,,
coco_102497_215537,1216x832,640,457,0.0,0.0,0.0,0.0,0.0,0.0,,
coco_10249_468383,832x1216,426,640,0.0,0.0,0.0,0.0,0.0,0.0,,
coco_102532_crowd,1216x832,640,427,0.0,0.0,0.0,0.0,0.0,0.0,,
coco_102555_crowd,1152x896,640,563,0.0,29.2,0.0,0.0,29.2,0.0326,,
coco_102746_crowd,1344x768,640,383,0.0,0.0,0.0,7.8,7.8,0.0102,,
coco_102837_471724,1152x896,640,480,0.0,0.0,0.0,0.0,0.0,0.0,,
coco_102872_crowd,1216x832,640,424,16.1,0.0,19.8,0.0,19.8,0.0239,,
coco_102908_430597,832x1216,424,640,0.0,0.0,0.0,0.0,0.0,0.0,,
coco_102928_447164,832x1216,421,640,0.0,0.0,0.0,0.0,0.0,0.0,,
coco_103114_crowd,1152x896,640,480,0.0,0.0,0.0,0.0,0.0,0.0,,
coco_103134_crowd,1216x832,640,429,0.0,0.0,0.0,0.0,0.0,0.0,,
coco_103413_497545,1216x832,640,426,0.0,0.0,0.0,0.0,0.0,0.0,,
coco_103431_crowd,1152x896,640,548,0.0,12.6,0.0,0.0,12.6,0.0141,,
coco_103462_1723204,1152x896,640,517,0.0,0.0,0.0,0.0,0.0,0.0,,
