range,count,fraction
0.00-0.40,228,0.013032294941411832
0.40-0.50,750,0.04286939125464419
0.50-0.60,836,0.04778508145184338
0.60-0.70,3114,0.17799371248928264
0.70-0.80,3598,0.20565875964561303
0.80-0.90,1003,0.05733066590454416
0.90-1.00,428,0.024464132609316947
1.00-1.10,873,0.04989997142040583
1.10-1.25,420,0.024006859102600742
1.25-1.40,1766,0.10094312660760217
1.40-1.60,3286,0.18782509288368104
1.60-1.80,761,0.04349814232637896
1.80-2.00,286,0.016347527865104315
2.00-2.50,131,0.007487853672477851
2.50-3.00,12,0.0006859102600743069
3.00-999.00,3,0.00017147756501857672
