scheme,bucket,width,height,area,aspect_ratio,count,fraction,mean_crop_area_fraction,median_crop_area_fraction,p90_crop_area_fraction,max_crop_area_fraction
conservative_9,512x2048,512,2048,1048576,0.25,121,0.006916261789082595,0.17495795876636902,0.17751884852638794,0.285,0.5158582089552239
conservative_9,576x1536,576,1536,884736,0.375,154,0.00880251500428694,0.06650700229512903,0.06250000000000008,0.13208333333333339,0.17866666666666664
conservative_9,640x1344,640,1344,860160,0.47619047619047616,1018,0.05818805372963704,0.04347812660382038,0.03809523809523835,0.09277374108053005,0.11170000000000001
conservative_9,768x1280,768,1280,983040,0.6,3303,0.188796799085453,0.08301304582118829,0.09859154929577464,0.102803738317757,0.1216117216117215
conservative_9,896x1152,896,1152,1032192,0.7777777777777778,4797,0.2741926264647042,0.05499328229840365,0.04089573572619742,0.09853416876502374,0.12165413533834583
conservative_9,1024x1024,1024,1024,1048576,1.0,1518,0.08676764789939982,0.03754415423356179,0.02000000000000002,0.10600000000000001,0.118
conservative_9,1152x896,1152,896,1032192,1.2857142857142858,2520,0.14404115461560446,0.05047406894646374,0.03571428571428585,0.09677002524141448,0.12089285714285723
conservative_9,1280x768,1280,768,983040,1.6666666666666667,3819,0.21829094026864818,0.08801032317287444,0.10000000000000006,0.10220048899755511,0.12153110047846898
conservative_9,1344x640,1344,640,860160,2.1,210,0.012003429551300371,0.06403352920648624,0.06208791208791211,0.1071428571428571,0.10855749978236268
conservative_9,1536x576,1536,576,884736,2.6666666666666665,34,0.0019434124035438696,0.07989958213409984,0.08822530864197536,0.10398230088495573,0.16586520112968486
conservative_9,2048x512,2048,512,1048576,4.0,1,5.715918833952558e-05,0.17431192660550468,0.17431192660550468,0.17431192660550468,0.17431192660550468
balanced_13,512x2048,512,2048,1048576,0.25,106,0.006058873963989711,0.1802086830640697,0.20089357429718885,0.29066666666666663,0.5158582089552239
balanced_13,576x1792,576,1792,1032192,0.32142857142857145,65,0.003715347242069163,0.069738673299331,0.08163265306122461,0.11402403542061984,0.12158908507223123
balanced_13,640x1536,640,1536,983040,0.4166666666666667,220,0.012575021434695627,0.05505929916254502,0.05999006773479232,0.08750722433460074,0.11920000000000007
balanced_13,704x1408,704,1408,991232,0.5,990,0.056587596456130325,0.039816425691730155,0.040000000000000036,0.07550077041602461,0.08675799086757995
balanced_13,768x1280,768,1280,983040,0.6,876,0.050071448985424406,0.041352603963366215,0.04301946904579382,0.06542056074766359,0.08666666666666673
balanced_13,832x1216,832,1216,1011712,0.6842105263157895,3834,0.21914832809374107,0.029284704641060425,0.026453329913104798,0.0476909722222222,0.06355068772287314
balanced_13,896x1152,896,1152,1032192,0.7777777777777778,3302,0.18873963989711345,0.03861042077710471,0.03571428571428585,0.06651475694444438,0.11716291454853546
balanced_13,1024x1024,1024,1024,1048576,1.0,1518,0.08676764789939982,0.03754415423356179,0.02000000000000002,0.10600000000000001,0.118
balanced_13,1152x896,1152,896,1032192,1.2857142857142858,1965,0.11231780508716777,0.038954734562960766,0.03571428571428585,0.06079664570230607,0.11800172265288544
balanced_13,1216x832,1216,832,1011712,1.4615384615384615,3340,0.19091168905401543,0.027131172095698326,0.02564102564102564,0.039068882009726594,0.0635327635327635
balanced_13,1280x768,1280,768,983040,1.6666666666666667,885,0.05058588168048014,0.050179031006172124,0.06247818499127395,0.06327160493827128,0.0869140624999999
balanced_13,1408x704,1408,704,991232,2.0,333,0.01903400971706202,0.05364014499325921,0.06398537477148081,0.07692307692307698,0.08703703703703694
balanced_13,1536x640,1536,640,983040,2.4,56,0.0032009145470134324,0.039958752349796546,0.03748629061740609,0.08190802253302262,0.11199999999999996
balanced_13,1792x576,1792,576,1032192,3.111111111111111,5,0.0002857959416976279,0.03758050662417163,0.03682189622920169,0.061792856905166046,0.06430496726992693
balanced_13,2048x512,2048,512,1048576,4.0,0,0.0,,,,
core_9,576x1536,576,1536,884736,0.375,275,0.015718776793369534,0.21860782046063443,0.12916666666666668,0.5057777777777779,0.6772388059701492
core_9,640x1344,640,1344,860160,0.47619047619047616,1018,0.05818805372963704,0.04347812660382038,0.03809523809523835,0.09277374108053005,0.11170000000000001
core_9,768x1280,768,1280,983040,0.6,3303,0.188796799085453,0.08301304582118829,0.09859154929577464,0.102803738317757,0.1216117216117215
core_9,896x1152,896,1152,1032192,0.7777777777777778,4797,0.2741926264647042,0.05499328229840365,0.04089573572619742,0.09853416876502374,0.12165413533834583
core_9,1024x1024,1024,1024,1048576,1.0,1518,0.08676764789939982,0.03754415423356179,0.02000000000000002,0.10600000000000001,0.118
core_9,1152x896,1152,896,1032192,1.2857142857142858,2520,0.14404115461560446,0.05047406894646374,0.03571428571428585,0.09677002524141448,0.12089285714285723
core_9,1280x768,1280,768,983040,1.6666666666666667,3819,0.21829094026864818,0.08801032317287444,0.10000000000000006,0.10220048899755511,0.12153110047846898
core_9,1344x640,1344,640,860160,2.1,210,0.012003429551300371,0.06403352920648624,0.06208791208791211,0.1071428571428571,0.10855749978236268
core_9,1536x576,1536,576,884736,2.6666666666666665,35,0.002000571591883395,0.08311938243291392,0.09250000000000012,0.10764627821966774,0.19259259259259262
