path,filename,stem,extension,ok,format,mode,width,height,aspect_ratio,pixel_count,error
C:\Users\Adhit Simhadri\Desktop\Krea-2-Pose-ControlNet\data\full\images\coco_100098_193288.jpg,coco_100098_193288.jpg,coco_100098_193288,.jpg,True,JPEG,RGB,640,427,1.4988290398126465,273280,
C:\Users\Adhit Simhadri\Desktop\Krea-2-Pose-ControlNet\data\full\images\coco_10012_1730659.jpg,coco_10012_1730659.jpg,coco_10012_1730659,.jpg,True,JPEG,RGB,640,480,1.3333333333333333,307200,
C:\Users\Adhit Simhadri\Desktop\Krea-2-Pose-ControlNet\data\full\images\coco_10014_crowd.jpg,coco_10014_crowd.jpg,coco_10014_crowd,.jpg,True,JPEG,RGB,640,426,1.5023474178403755,272640,
C:\Users\Adhit Simhadri\Desktop\Krea-2-Pose-ControlNet\data\full\images\coco_10023_439238.jpg,coco_10023_439238.jpg,coco_10023_439238,.jpg,True,JPEG,RGB,640,427,1.4988290398126465,273280,
C:\Users\Adhit Simhadri\Desktop\Krea-2-Pose-ControlNet\data\full\images\coco_10040_crowd.jpg,coco_10040_crowd.jpg,coco_10040_crowd,.jpg,True,JPEG,RGB,640,480,1.3333333333333333,307200,
C:\Users\Adhit Simhadri\Desktop\Krea-2-Pose-ControlNet\data\full\images\coco_100438_crowd.jpg,coco_100438_crowd.jpg,coco_100438_crowd,.jpg,True,JPEG,RGB,480,640,0.75,307200,
C:\Users\Adhit Simhadri\Desktop\Krea-2-Pose-ControlNet\data\full\images\coco_100553_455521.jpg,coco_100553_455521.jpg,coco_100553_455521,.jpg,True,JPEG,RGB,480,640,0.75,307200,
C:\Users\Adhit Simhadri\Desktop\Krea-2-Pose-ControlNet\data\full\images\coco_100977_crowd.jpg,coco_100977_crowd.jpg,coco_100977_crowd,.jpg,True,JPEG,RGB,640,480,1.3333333333333333,307200,
C:\Users\Adhit Simhadri\Desktop\Krea-2-Pose-ControlNet\data\full\images\coco_101088_crowd.jpg,coco_101088_crowd.jpg,coco_101088_crowd,.jpg,True,JPEG,RGB,640,480,1.3333333333333333,307200,
C:\Users\Adhit Simhadri\Desktop\Krea-2-Pose-ControlNet\data\full\images\coco_101172_183092.jpg,coco_101172_183092.jpg,coco_101172_183092,.jpg,True,JPEG,RGB,460,640,0.71875,294400,
C:\Users\Adhit Simhadri\Desktop\Krea-2-Pose-ControlNet\data\full\images\coco_10138_228945.jpg,coco_10138_228945.jpg,coco_10138_228945,.jpg,True,JPEG,RGB,640,480,1.3333333333333333,307200,
C:\Users\Adhit Simhadri\Desktop\Krea-2-Pose-ControlNet\data\full\images\coco_10142_469874.jpg,coco_10142_469874.jpg,coco_10142_469874,.jpg,True,JPEG,RGB,640,480,1.3333333333333333,307200,
C:\Users\Adhit Simhadri\Desktop\Krea-2-Pose-ControlNet\data\full\images\coco_101491_crowd.jpg,coco_101491_crowd.jpg,coco_101491_crowd,.jpg,True,JPEG,RGB,480,640,0.75,307200,
C:\Users\Adhit Simhadri\Desktop\Krea-2-Pose-ControlNet\data\full\images\coco_10149_191566.jpg,coco_10149_191566.jpg,coco_10149_191566,.jpg,True,JPEG,RGB,640,484,1.322314049586777,309760,
C:\Users\Adhit Simhadri\Desktop\Krea-2-Pose-ControlNet\data\full\images\coco_101656_186340.jpg,coco_101656_186340.jpg,coco_101656_186340,.jpg,True,JPEG,RGB,640,427,1.4988290398126465,273280,
C:\Users\Adhit Simhadri\Desktop\Krea-2-Pose-ControlNet\data\full\images\coco_10192_446799.jpg,coco_10192_446799.jpg,coco_10192_446799,.jpg,True,JPEG,RGB,640,497,1.2877263581488934,318080,
C:\Users\Adhit Simhadri\Desktop\Krea-2-Pose-ControlNet\data\full\images\coco_102329_433925.jpg,coco_102329_433925.jpg,coco_102329_433925,.jpg,True,JPEG,RGB,426,640,0.665625,272640,
C:\Users\Adhit Simhadri\Desktop\Krea-2-Pose-ControlNet\data\full\images\coco_102353_451098.jpg,coco_102353_451098.jpg,coco_102353_451098,.jpg,True,JPEG,RGB,640,427,1.4988290398126465,273280,
C:\Users\Adhit Simhadri\Desktop\Krea-2-Pose-ControlNet\data\full\images\coco_102497_215537.jpg,coco_102497_215537.jpg,coco_102497_215537,.jpg,True,JPEG,RGB,640,457,1.400437636761488,292480,
C:\Users\Adhit Simhadri\Desktop\Krea-2-Pose-ControlNet\data\full\images\coco_10249_468383.jpg,coco_10249_468383.jpg,coco_10249_468383,.jpg,True,JPEG,RGB,426,640,0.665625,272640,
C:\Users\Adhit Simhadri\Desktop\Krea-2-Pose-ControlNet\data\full\images\coco_102532_crowd.jpg,coco_102532_crowd.jpg,coco_102532_crowd,.jpg,True,JPEG,RGB,640,427,1.4988290398126465,273280,
C:\Users\Adhit Simhadri\Desktop\Krea-2-Pose-ControlNet\data\full\images\coco_102555_crowd.jpg,coco_102555_crowd.jpg,coco_102555_crowd,.jpg,True,JPEG,RGB,640,563,1.1367673179396092,360320,
C:\Users\Adhit Simhadri\Desktop\Krea-2-Pose-ControlNet\data\full\images\coco_102746_crowd.jpg,coco_102746_crowd.jpg,coco_102746_crowd,.jpg,True,JPEG,RGB,640,383,1.671018276762402,245120,
C:\Users\Adhit Simhadri\Desktop\Krea-2-Pose-ControlNet\data\full\images\coco_102837_471724.jpg,coco_102837_471724.jpg,coco_102837_471724,.jpg,True,JPEG,RGB,640,480,1.3333333333333333,307200,
C:\Users\Adhit Simhadri\Desktop\Krea-2-Pose-ControlNet\data\full\images\coco_102872_crowd.jpg,coco_102872_crowd.jpg,coco_102872_crowd,.jpg,True,JPEG,RGB,640,424,1.509433962264151,271360,
C:\Users\Adhit Simhadri\Desktop\Krea-2-Pose-ControlNet\data\full\images\coco_102908_430597.jpg,coco_102908_430597.jpg,coco_102908_430597,.jpg,True,JPEG,RGB,424,640,0.6625,271360,
C:\Users\Adhit Simhadri\Desktop\Krea-2-Pose-ControlNet\data\full\images\coco_102928_447164.jpg,coco_102928_447164.jpg,coco_102928_447164,.jpg,True,JPEG,RGB,421,640,0.6578125,269440,
C:\Users\Adhit Simhadri\Desktop\Krea-2-Pose-ControlNet\data\full\images\coco_103114_crowd.jpg,coco_103114_crowd.jpg,coco_103114_crowd,.jpg,True,JPEG,RGB,640,480,1.3333333333333333,307200,
C:\Users\Adhit Simhadri\Desktop\Krea-2-Pose-ControlNet\data\full\images\coco_103134_crowd.jpg,coco_103134_crowd.jpg,coco_103134_crowd,.jpg,True,JPEG,RGB,640,429,1.491841491841492,274560,
C:\Users\Adhit Simhadri\Desktop\Krea-2-Pose-ControlNet\data\full\images\coco_103163_crowd.jpg,coco_103163_crowd.jpg,coco_103163_crowd,.jpg,True,JPEG,RGB,612,612,1.0,374544,
C:\Users\Adhit Simhadri\Desktop\Krea-2-Pose-ControlNet\data\full\images\coco_103227_486387.jpg,coco_103227_486387.jpg,coco_103227_486387,.jpg,True,JPEG,RGB,640,566,1.1307420494699647,362240,
C:\Users\Adhit Simhadri\Desktop\Krea-2-Pose-ControlNet\data\full\images\coco_103413_497545.jpg,coco_103413_497545.jpg,coco_103413_497545,.jpg,True,JPEG,RGB,640,426,1.5023474178403755,272640,
C:\Users\Adhit Simhadri\Desktop\Krea-2-Pose-ControlNet\data\full\images\coco_103431_crowd.jpg,coco_103431_crowd.jpg,coco_103431_crowd,.jpg,True,JPEG,RGB,640,548,1.167883211678832,350720,
C:\Users\Adhit Simhadri\Desktop\Krea-2-Pose-ControlNet\data\full\images\coco_103462_1723204.jpg,coco_103462_1723204.jpg,coco_103462_1723204,.jpg,True,JPEG,RGB,640,517,1.2379110251450678,330880,
