checkpoint_step,mode,pck_005,pck_010,pck_020,clip_mean_cosine_similarity
500,native,0.05703883495145631,0.18325242718446602,0.4199029126213592,0.33727050907100603
500,dynamic-768,0.043689320388349516,0.15655339805825244,0.45024271844660196,0.3405796419105764
1000,native,0.055825242718446605,0.15776699029126215,0.4053398058252427,0.33782709231406116
1000,dynamic-768,0.04975728155339806,0.1553398058252427,0.4356796116504854,0.33772149914720817
1500,native,0.05703883495145631,0.18446601941747573,0.45995145631067963,0.339512818530016
1500,dynamic-768,0.03762135922330097,0.1407766990291262,0.4575242718446602,0.33470786117616375
2000,native,0.04733009708737864,0.16019417475728157,0.4223300970873786,0.3396634091785944
2000,dynamic-768,0.03762135922330097,0.154126213592233,0.3907766990291262,0.3387694452615834
2500,native,0.06310679611650485,0.18810679611650485,0.4684466019417476,0.33701160179163897
2500,dynamic-768,0.03640776699029126,0.16990291262135923,0.4356796116504854,0.3319888902509904
3000,native,0.42597087378640774,0.6055825242718447,0.7135922330097088,0.3339330858357676
3000,dynamic-768,0.3567961165048544,0.5570388349514563,0.691747572815534,0.3342310237120986
